name,acceleration,origin,horsepower,cylinders,year,mpg,weight,displacement
dodge_aries_wagon_(sw),14.4,1.0,92,4.0,81.0,25.8,2620.0,156.0
chevrolet_citation,12.6,1.0,110,6.0,81.0,23.5,2725.0,173.0
plymouth_reliant,12.9,1.0,84,4.0,81.0,30.0,2385.0,135.0
toyota_starlet,16.9,3.0,58,4.0,81.0,39.1,1755.0,79.0
plymouth_champ,16.4,1.0,64,4.0,81.0,39.0,1875.0,86.0
honda_civic_1300,16.1,3.0,60,4.0,81.0,35.1,1760.0,81.0
subaru,17.8,3.0,67,4.0,81.0,32.3,2065.0,97.0
datsun_210_mpg,19.4,3.0,65,4.0,81.0,37.0,1975.0,85.0
toyota_tercel,17.3,3.0,62,4.0,81.0,37.7,2050.0,89.0
mazda_glc_4,16.0,3.0,68,4.0,81.0,34.1,1985.0,91.0
plymouth_horizon_4,14.9,1.0,63,4.0,81.0,34.7,2215.0,105.0
ford_escort_4w,16.2,1.0,65,4.0,81.0,34.4,2045.0,98.0
ford_escort_2h,20.7,1.0,65,4.0,81.0,29.9,2380.0,98.0
volkswagen_jetta,14.2,2.0,74,4.0,81.0,33.0,2190.0,105.0
renault_18i,15.8,2.0,?,4.0,81.0,34.5,2320.0,100.0
honda_prelude,14.4,3.0,75,4.0,81.0,33.7,2210.0,107.0
toyota_corolla,16.8,3.0,75,4.0,81.0,32.4,2350.0,108.0
datsun_200sx,14.8,3.0,100,4.0,81.0,32.9,2615.0,119.0
mazda_626,18.3,3.0,74,4.0,81.0,31.6,2635.0,120.0
peugeot_505s_turbo_diesel,20.4,2.0,80,4.0,81.0,28.1,3230.0,141.0
volvo_diesel,19.6,2.0,76,6.0,81.0,30.7,3160.0,145.0
toyota_cressida,12.6,3.0,116,6.0,81.0,25.4,2900.0,168.0
datsun_810_maxima,13.8,3.0,120,6.0,81.0,24.2,2930.0,146.0
buick_century,15.8,1.0,110,6.0,81.0,22.4,3415.0,231.0
oldsmobile_cutlass_ls,19.0,1.0,105,8.0,81.0,26.6,3725.0,350.0
ford_granada_gl,17.1,1.0,88,6.0,81.0,20.2,3060.0,200.0
chrysler_lebaron_salon,16.6,1.0,85,6.0,81.0,17.6,3465.0,225.0
chevrolet_cavalier,19.6,1.0,88,4.0,82.0,28.0,2605.0,112.0
chevrolet_cavalier_wagon,18.6,1.0,88,4.0,82.0,27.0,2640.0,112.0
chevrolet_cavalier_2-door,18.0,1.0,88,4.0,82.0,34.0,2395.0,112.0
pontiac_j2000_se_hatchback,16.2,1.0,85,4.0,82.0,31.0,2575.0,112.0
dodge_aries_se,16.0,1.0,84,4.0,82.0,29.0,2525.0,135.0
pontiac_phoenix,18.0,1.0,90,4.0,82.0,27.0,2735.0,151.0
ford_fairmont_futura,16.4,1.0,92,4.0,82.0,24.0,2865.0,140.0
volkswagen_rabbit_l,15.3,2.0,74,4.0,82.0,36.0,1980.0,105.0
mazda_glc_custom_l,18.2,3.0,68,4.0,82.0,37.0,2025.0,91.0
mazda_glc_custom,17.6,3.0,68,4.0,82.0,31.0,1970.0,91.0
plymouth_horizon_miser,14.7,1.0,63,4.0,82.0,38.0,2125.0,105.0
mercury_lynx_l,17.3,1.0,70,4.0,82.0,36.0,2125.0,98.0
nissan_stanza_xe,14.5,3.0,88,4.0,82.0,36.0,2160.0,120.0
honda_accord,14.5,3.0,75,4.0,82.0,36.0,2205.0,107.0
toyota_corolla,16.9,3.0,70,4.0,82.0,34.0,2245.0,108.0
honda_civic,15.0,3.0,67,4.0,82.0,38.0,1965.0,91.0
honda_civic_(auto),15.7,3.0,67,4.0,82.0,32.0,1965.0,91.0
datsun_310_gx,16.2,3.0,67,4.0,82.0,38.0,1995.0,91.0
buick_century_limited,16.4,1.0,110,6.0,82.0,25.0,2945.0,181.0
oldsmobile_cutlass_ciera_(diesel),17.0,1.0,85,6.0,82.0,38.0,3015.0,262.0
chrysler_lebaron_medallion,14.5,1.0,92,4.0,82.0,26.0,2585.0,156.0
ford_granada_l,14.7,1.0,112,6.0,82.0,22.0,2835.0,232.0
toyota_celica_gt,13.9,3.0,96,4.0,82.0,32.0,2665.0,144.0
dodge_charger_2.2,13.0,1.0,84,4.0,82.0,36.0,2370.0,135.0
chevrolet_camaro,17.3,1.0,90,4.0,82.0,27.0,2950.0,151.0
ford_mustang_gl,15.6,1.0,86,4.0,82.0,27.0,2790.0,140.0
vw_pickup,24.6,2.0,52,4.0,82.0,44.0,2130.0,97.0
dodge_rampage,11.6,1.0,84,4.0,82.0,32.0,2295.0,135.0
ford_ranger,18.6,1.0,79,4.0,82.0,28.0,2625.0,120.0
chevy_s-10,19.4,1.0,82,4.0,82.0,31.0,2720.0,119.0
